Heroi,Partidas_jogadas,Aproveitamento,KDA,Kill,Mortes,Assistencias,Hero_Damage_Minute,Hero_Healing_Minute,Tower_Damage_Minute,Last_Hits_10Minutes,Denies_10Minutes
Pudge,9258935,49.07,2.41,10.14,8.79,11,313.72,7.02,9.63,13.45,0.53
Sniper,7841805,50.00,2.47,9.5,8.15,10.65,334.4,0.04,46.52,32.37,1.38
PhantomAssassin,7334881,50.48,2.57,10.33,7.84,9.89,330.21,0.82,31.39,31.44,0.7
FacelessVoid,6511321,51.98,2.49,9.34,7.29,8.81,274.27,0.03,35.31,36.03,1.08
Invoker,5955203,43.63,2.7,7.79,7.45,12.3,301.09,0.3,30.14,26.04,1.51
Mirana,5865350,51.39,2.73,6.79,7.09,12.56,240.41,0.95,26.6,22.29,0.84
Riki,5445487,52.66,3.09,12.22,6.81,8.81,333.36,0.68,24.47,18.64,0.58
Earthshaker,5060994,53.05,2.5,5.91,8.56,15.46,268.74,0.77,10.58,16.72,0.44
Juggernaut,4698249,51.76,2.47,9.16,7.44,9.19,321.8,0.79,37.59,32.1,0.86
DrowRanger,4646299,50.36,1.75,7.4,8.63,7.69,244.05,0.07,60.92,30.9,0.85
Axe,4598382,49.71,2.33,9.68,8.92,11.17,318.86,0.51,13.46,28.49,0.26
Bloodseeker,4421292,49.85,2.27,10.64,9,9.91,323.02,14.74,31.84,27.44,0.91
Slark,4268318,50.99,2.67,10.17,7.89,10.93,325.78,0.7,31.91,26.46,0.88
WitchDoctor,4093510,54.00,2.4,7.32,8.56,13.23,262.87,52.5,12.87,12.91,0.82
WraithKing,4067493,56.71,2.87,7.08,6.45,11.46,248.8,42.47,35.31,29.31,0.63
ShadowFiend,4003410,47.56,2.35,9.29,8.27,10.25,347.08,0.29,49.97,43.84,3.33
Nature'sProphet,3990334,43.25,2.01,5.79,8.36,11.03,243.85,0.59,59.01,47,0.41
Viper,3966657,52.10,2.95,10.25,7.54,12.02,342.74,13.81,36.57,24.45,1.22
SkywrathMage,3906391,46.86,2.3,8.39,8.85,12,305.69,3.36,9.86,10.86,0.81
Silencer,3526948,55.16,2.28,7.33,8.12,11.2,293.31,7.01,22.89,18.61,1.09
Zeus,3447522,56.15,3.5,9.99,7.8,17.29,509.87,0.77,9.52,17.19,0.39
OgreMagi,3241264,55.07,2.71,6.13,7.59,14.45,258.76,7.48,9.73,12.31,0.69
Spectre,3011075,57.80,3.82,9.49,6.91,17.01,394.18,0.81,29.28,36.91,1.24
Tidehunter,2873846,52.81,2.74,4.68,7.52,15.96,220.19,4.59,10.47,18.58,0.57
VengefulSpirit,2867586,54.15,2.16,5.21,8.68,13.56,197.8,3.87,21.37,15.2,0.88
Necrophos,2702804,59.09,3.27,8.8,7.73,16.46,285.19,80.9,18.71,23.52,1.17
CrystalMaiden,2627808,52.39,2.03,4.64,9.2,14.04,210.84,5.82,8.44,11.15,0.46
CentaurWarrunner,2466661,54.59,2.65,7.09,7.96,14.01,271.23,0.65,24.99,25.53,0.81
Lich,2170762,53.97,2.52,6.66,7.75,12.89,288.75,20.73,11.49,12.82,0.68
Omniknight,2164012,61.42,2.08,3.64,6.59,10.11,142.63,86.9,12.87,13.97,0.68
Abaddon,2013735,56.81,2.83,6.11,6.7,12.86,256.25,30.59,27.53,22.08,0.68
Venomancer,1844172,52.44,2.42,5.81,9.22,16.5,316.35,5.87,20.8,22.5,0.58
Brewmaster,1622829,52.82,3.12,7.46,6.47,12.72,285.69,2.08,22.22,25.98,0.97
Warlock,1481833,53.22,2.25,5.58,7.92,12.21,264.53,51.7,25.69,19.18,0.87
Undying,1331200,52.42,2.8,6.31,8.36,17.09,233.5,21.51,12.58,17.7,0.71
DeathProphet,3289323,51.82,2.44,7.68,7.8,11.32,325.99,8.49,50.59,30.29,0.85
Tinker,3177344,42.88,2.63,9.75,7.51,10.22,413.83,0.49,5.77,37,0.85
EmberSpirit,3116899,44.25,2.68,8.97,8.08,12.65,355.33,0.1,21.98,34.12,1.05
Razor,2909147,49.78,2.52,8.21,8.14,12.33,338.34,10.38,35.4,28.35,1.29
Huskar,2806337,45.99,1.85,10.52,10.38,8.69,351.03,4.87,28.56,20.35,0.82
Weaver,2691859,48.01,3.06,9.23,6.66,11.13,332.25,0.25,44.14,31.09,0.99
Bristleback,2662011,48.32,2.7,7.56,7.85,13.63,313.61,2.84,26.2,26,0.8
TemplarAssassin,2432200,45.36,2.3,9.32,7.71,8.41,323.11,0.04,41.75,31.02,1.25
Timbersaw,2410693,45.76,2.31,8.21,8.71,11.95,327.16,10.95,9.04,28.65,0.64
QueenofPain,2072613,42.46,2.5,9.19,8.22,11.33,328.57,0.32,21.85,27.34,1.22
Clockwerk,1987126,49.73,2.65,7.47,8.58,15.25,322.72,1.9,10.41,18.19,0.72
Gyrocopter,1542095,44.60,2.22,8.01,8.96,11.87,323.6,0.38,26.59,31.84,1.07
Medusa,1479005,52.24,2.85,5.84,5.98,11.29,273.67,0.13,44.39,45.93,1.2
Alchemist,899712,40.90,1.9,4.86,8.34,10.98,210.46,1.67,32.23,34.48,0.63
Anti-Mage,2572703,43.79,2.22,7.15,6.6,7.54,222.58,1.39,44.67,43.72,1.21
Kunkka,3147126,47.30,2.4,6.96,7.92,12.07,290.79,1.96,22.16,33.39,0.78
Lifestealer,2525603,45.60,2.23,6.82,7.3,9.41,251.32,10.74,32.57,35.45,0.64
LoneDruid,1092249,41.23,1.98,4.72,6.59,8.35,200.17,2.09,54.88,38.13,0.46
Luna,2051039,50.45,2.21,7.79,8.32,10.61,298.88,0.07,52.45,39.35,1
Lycan,1365083,47.63,1.91,6.58,7.2,7.14,226.43,7.07,66.23,35.18,0.47
Meepo,1564407,48.08,1.83,8.94,9.17,7.85,293.45,8.7,50.25,36.85,0.44
Morphling,1597297,42.87,2.59,7.94,6.44,8.74,265.6,0.18,42.03,35.68,1.74
NagaSiren,1237400,44.75,2.26,4.92,6.45,9.69,193.12,1.12,36.9,41.03,0.77
PhantomLancer,3882184,49.41,2.6,8.11,6.97,9.91,283.76,1.67,38.19,34.91,0.63
Terrorblade,1576523,47.53,1.83,7.03,7.95,7.58,239.14,0.27,77.82,39.93,1.01
